id,name,genres,followers,popularity,mean_danceability,sd_danceability,mean_energy,sd_energy,mean_key,sd_key,mean_loudness,sd_loudness,mean_mode,sd_mode,mean_speechiness,sd_speechiness,mean_acousticness,sd_acousticness,mean_instrumentalness,sd_instrumentalness,mean_liveness,sd_liveness,mean_valence,sd_valence,mean_tempo,sd_tempo,mean_duration_ms,sd_duration_ms,mean_time_signature,sd_time_signature,mean_chorus_hit,sd_chorus_hit,mean_sections,sd_sections,mean_target,sd_target
1yAwtBaoHLEDWAnWR87hBT,Modest Mouse,"['alternative rock', 'double drumming', 'indie pop', 'indie rock', 'modern rock', 'rock', 'stomp and holler', 'washington indie']",1158488.0,68,0.644,0.0070710678,0.8955,0.0106066017,8.5,3.5355339059,-4.91,0.1456639969,0.5,0.7071067812,0.0332,0.0055154329,0.011315,0.0023829499,3.6415e-05,4.83449e-05,0.1314,0.0602454978,0.7565,0.2877924599,118.4565,24.7225743906,227320.0,26662.16829142,4.0,0.0,30.12775,17.7023192721,11.0,1.4142135624,1.0,0.0
33EUXrFKGjpUSGacqEHhU4,Iggy Pop,"['alternative rock', 'art rock', 'classic rock', 'glam rock', 'new wave', 'permanent wave', 'post-punk', 'protopunk', 'punk', 'rock']",1154066.0,68,0.4478474576,0.1497971978,0.7548644068,0.1863539881,5.593220339,3.709812915,-8.6290169492,3.1857689511,0.7118644068,0.4567821279,0.0497067797,0.0238798491,0.1580908814,0.21383454,0.2000528158,0.2918339673,0.2805932203,0.252230057,0.5179220339,0.2479910253,125.7849661017,19.067112787,239204.8813559322,77164.090167527,3.9322033898,0.2535545088,45.1010433898,21.6438061417,10.7966101695,3.6140514138,0.0,0.0
7MzHPIXAqIOCnvK0sVY72W,Helene Fischer,"['classic schlager', 'german pop', 'partyschlager', 'schlager']",1148705.0,68,0.271,,0.436,,3.0,,-6.951,,1.0,,0.0301,,0.799,,0.000154,,0.0966,,0.192,,80.249,,245120.0,,3.0,,28.24373,,9.0,,0.0,
7C4sUpWGlTy7IANjruj02I,Peter Gabriel,"['album rock', 'art pop', 'art rock', 'classic rock', 'mellow gold', 'permanent wave', 'rock', 'soft rock', 'symphonic rock']",1137123.0,68,0.7075,0.0424297739,0.727,0.1027590802,6.125,4.0510139824,-7.904875,1.4814951364,1.0,0.0,0.0516,0.0179375106,0.2195,0.1219566668,0.0007598625,0.0007908678,0.171125,0.1106412446,0.681125,0.2197722441,106.39125,19.8351742889,295058.125,41064.3604860103,3.25,1.3887301497,50.15731375,25.6427226582,13.375,3.961871852,1.0,0.0
2wmwGWrqRizLaSEYrm5dzZ,Los Huracanes del Norte,"['corrido', 'norteno', 'nuevo regional mexicano', 'ranchera', 'regional mexican']",1136905.0,68,0.448,0.1385929291,0.4805,0.2425376259,6.5,4.9497474683,-12.283,7.3397683887,1.0,0.0,0.05985,0.0415071681,0.12585,0.1204202848,0.0,0.0,0.31755,0.3570182138,0.6525,0.0403050865,156.2435,1.0868231227,206592.0,6931.0606691905,3.0,0.0,35.254185,3.485590954,11.5,0.7071067812,0.0,0.0
21UJ7PRWb3Etgsu99f8yo8,Stereophonics,"['britpop', 'modern rock', 'pop rock', 'rock', 'welsh rock']",1135365.0,68,0.5055,0.0075938572,0.74425,0.1638869021,4.75,2.8722813233,-5.828,2.5246587888,0.25,0.5,0.0432,0.0169158703,0.232,0.2358346879,0.00181986,0.0033403894,0.201725,0.1235741984,0.3605,0.1719350653,117.22475,27.2498662183,258073.5,39077.2637518715,4.0,0.0,53.940015,7.0054350094,11.5,3.7859388972,0.0,0.0
34Y0ldeyUv7jBvukWOGASO,Bobby Shmurda,"['nyc rap', 'rap', 'trap']",1131356.0,68,0.89,0.0438406204,0.5125,0.0176776695,10.0,1.4142135624,-7.907,0.3945655839,1.0,0.0,0.38,0.0466690476,0.0278,0.0200818326,8e-06,1.13137e-05,0.1873,0.1777666448,0.49,0.429920923,107.364,33.068555729,177472.0,24167.4955673938,4.0,0.0,35.537615,16.8383408515,11.0,2.8284271247,1.0,0.0
0cmWgDlu9CwTgxPhf403hb,Bonobo,"['downtempo', 'electronica', 'jazztronica', 'ninja', 'nu jazz', 'trip hop']",1124534.0,68,0.5943333333,0.1080234542,0.5386666667,0.2745014875,6.8333333333,2.7868739955,-9.7156666667,3.0712627805,0.0,0.0,0.03375,0.0044688925,0.53344,0.350444326,0.7731666667,0.1855838535,0.15175,0.074706566,0.3224,0.2445808414,95.2271666667,14.4548851731,301454.5,43944.4729755632,4.0,0.0,41.46462,22.0748170174,12.0,1.788854382,0.0,0.0
6TcnmlCSxihzWOQJ8k0rNS,Third Eye Blind,"['alternative rock', 'neo mellow', 'pop rock', 'post-grunge', 'rock']",1114641.0,68,0.6062,0.0849128965,0.7062,0.1818535125,4.6,2.8809720582,-6.944,2.2750745043,1.0,0.0,0.0298,0.0048902965,0.022348,0.0332014393,0.0007002,0.0008989167,0.13844,0.0872782504,0.6068,0.2878675042,93.7924,14.1448829723,256503.8,14388.3765137002,4.0,0.0,38.758612,22.9071161285,10.2,1.303840481,1.0,0.0
5DYAABs8rkY9VhwtENoQCz,Gavin DeGraw,"['acoustic pop', 'neo mellow', 'pop', 'pop rock']",1098820.0,68,0.464,0.1325141502,0.8746,0.0590660647,5.4,3.9115214431,-4.9726,0.2676729348,0.8,0.4472135955,0.0632,0.020963182,0.06564,0.1070419827,0.0,0.0,0.2784,0.1131052607,0.474,0.1378713168,152.171,13.4566143773,221530.6,12222.2977299688,4.0,0.0,51.617576,28.4468020132,9.4,2.0736441353,1.0,0.0
3c96G4d2lUOxhomM2mby5S,Bushido,"['deep german hip hop', 'german hip hop']",1073883.0,68,0.525,0.1032375901,0.8655,0.0558614357,6.5,0.7071067812,-5.5815,0.3174909448,0.5,0.7071067812,0.265,0.045254834,0.2995,0.0374766594,0.0,0.0,0.5315,0.5423509012,0.6355,0.1053589104,82.4025,4.6548839406,275533.5,8126.778236177,4.0,0.0,64.5186,29.6303762847,10.5,3.5355339059,0.0,0.0
